call_ns,return_ns,client_id,op,key,value,output
3166,7521,0,PUT,k1,apple,
8786,13699,0,PUT,k2,ugli,
11443,16249,1,GET,k3,,NotFound
16600,25004,0,PUT,k4,straw,
23032,29217,1,PUT,k5,walnut,
26284,34676,0,PUT,k1,ham,
27390,32084,2,PUT,k6,cherry,
31103,38664,1,GET,k2,,ugli
31745,39043,3,PUT,k3,olive,
33881,40327,2,GET,k7,,NotFound
40364,47873,0,GET,k8,,NotFound
41750,49894,1,GET,k4,,straw
41823,47413,2,PUT,k9,nectar,
45521,50406,3,DELETE,k5,,
47220,53396,4,PUT,k10,straw,
49408,57630,0,DELETE,k6,,
50698,57798,1,GET,k1,,ham
52297,58842,2,GET,k11,,NotFound
54959,62675,3,GET,k2,,ugli
56822,61717,4,DELETE,k3,,
58521,65953,0,GET,k7,,NotFound
58691,67062,1,GET,k12,,NotFound
63053,68173,2,PUT,k13,lemon,
64839,70702,3,GET,k9,,nectar
65908,70472,4,GET,k8,,NotFound
66813,73822,0,PUT,k14,tomato,
67066,72151,1,DELETE,k4,,
68539,72856,2,PUT,k5,lemon,
69561,74145,5,DELETE,k10,,
73443,81965,1,PUT,k1,vanilla,
75375,80140,0,GET,k6,,NotFound
75516,81277,2,GET,k15,,NotFound
77701,83858,3,GET,k2,,ugli
78354,82466,4,PUT,k11,walnut,
78753,84322,5,PUT,k3,ham,
80884,85579,0,PUT,k16,ice,
83862,90738,1,PUT,k17,xigua,
83968,88290,2,DELETE,k13,,
85175,91769,3,PUT,k12,mango,
85362,93835,4,PUT,k7,yam,
88658,94127,0,PUT,k9,walnut,
89616,96411,2,PUT,k8,apple,
89633,94992,5,PUT,k10,tomato,
90010,94573,6,PUT,k4,banana,
90773,95931,1,PUT,k18,peach,
91711,97533,7,PUT,k5,elder,
93282,100220,3,GET,k14,,tomato
93863,98081,4,PUT,k19,ham,
97064,103606,0,PUT,k6,vanilla,
99366,106328,1,PUT,k1,raisin,
99800,107499,2,PUT,k15,yam,
99920,105413,4,GET,k20,,NotFound
100880,109273,3,GET,k3,,ham
101009,106283,5,PUT,k16,zucchini,
101990,109332,6,GET,k11,,walnut
102958,108421,7,PUT,k2,ice,
105820,113431,0,PUT,k13,nectar,
106947,112882,1,GET,k17,,xigua
110766,119198,2,GET,k12,,mango
111514,118955,3,PUT,k8,ham,
111574,118601,4,DELETE,k4,,
