call_ns,return_ns,client_id,op,key,value,output
-7966,19145,0,GET,kA,,NotFound
-2162,24042,1,PUT,kB,I,
14834,50099,2,DELETE,kA,,
20415,49604,0,PUT,kA,J,
24467,44716,1,PUT,kH,H,
26471,68493,3,DELETE,kB,,
29371,56510,4,GET,kA,,J
34113,42488,5,GET,kH,,H
41321,49392,6,PUT,kB,E,
42139,62242,7,GET,kB,,E
44055,57347,5,PUT,kH,E,
51919,74255,0,GET,kA,,J
56275,73677,1,PUT,kA,F,
58435,94971,2,GET,kB,,G
59041,90009,4,PUT,kH,B,
61009,72852,5,DELETE,kB,,
64138,74694,6,DELETE,kA,,
71940,88347,3,GET,kA,,NotFound
72881,89995,5,PUT,kH,F,
74146,110058,1,PUT,kH,A,
75085,105817,0,GET,kB,,NotFound
76220,111198,6,GET,kH,,F
86789,127189,7,PUT,kH,E,
91645,109395,3,DELETE,kH,,
92224,103474,4,GET,kH,,F
103966,126419,2,GET,kH,,E
107624,134769,0,PUT,kB,G,
129844,141561,1,GET,kH,,E
137585,184210,0,GET,kH,,H
143903,181750,1,PUT,kH,H,
146726,187274,2,GET,kH,,H
183140,211862,1,GET,kH,,E
183740,223208,3,GET,kH,,H
186184,214004,0,GET,kH,,H
188302,218155,2,GET,kH,,H
189036,222003,4,PUT,kH,E,
200206,238679,5,GET,kH,,D
202187,245150,6,GET,kH,,D
209347,251909,7,PUT,kH,G,
214000,226295,1,PUT,kH,D,
226305,260906,0,GET,kH,,G
