call_ns,return_ns,client_id,op,key,value,output
-5352,40542,0,PUT,k2,kiwi,
-3076,40503,1,PUT,k3,straw,
8597,69660,2,PUT,k1,lemon,
9544,22291,3,PUT,k1,peach,
9919,46001,4,DELETE,k1,,
12968,66780,5,PUT,k5,banana,
17593,64012,6,GET,k3,,straw
25555,57278,3,GET,k2,,kiwi
28888,50197,7,PUT,k4,raisin,
31624,90815,8,DELETE,k1,,
34444,85078,9,GET,k3,,apple
34570,82249,10,PUT,k3,apple,
35708,97453,11,PUT,k5,banana,
38789,69878,12,PUT,k2,banana,
39715,94728,13,PUT,k3,jam,
41491,90464,0,PUT,k8,fig,
42477,94242,1,PUT,k7,peach,
42516,108182,14,GET,k9,,NotFound
46357,92222,4,DELETE,k4,,
47859,88388,15,PUT,k6,elder,
49516,88776,16,PUT,k1,cherry,
50212,93655,7,PUT,k9,cherry,
54241,121558,17,GET,k1,,cherry
54781,91582,18,GET,k7,,peach
56099,79654,19,PUT,k5,apple,
58226,95563,3,GET,k2,,kiwi
58621,72764,20,PUT,k4,peach,
58806,123986,21,GET,k9,,cherry
59204,123974,22,PUT,k5,elder,
61040,97427,23,PUT,k2,straw,
65973,112474,6,PUT,k2,date,
67938,89494,5,GET,k6,,elder
68186,106241,24,GET,k7,,peach
68558,100963,25,GET,k6,,elder
71020,100011,2,GET,k2,,banana
71866,103169,12,GET,k4,,peach
73686,107530,20,PUT,k8,olive,
75182,85991,26,PUT,k10,mango,
76562,114925,27,DELETE,k5,,
77419,115135,28,GET,k1,,cherry
77992,93953,29,DELETE,k5,,
78818,118500,30,DELETE,k7,,
79311,121934,31,PUT,k3,jam,
79600,110143,32,PUT,k6,apple,
80257,136335,19,PUT,k5,peach,
80839,110619,33,PUT,k9,banana,
82136,114354,34,GET,k3,,jam
83080,117294,10,PUT,k2,elder,
84291,122828,35,PUT,k7,tomato,
86638,128502,9,PUT,k2,mango,
87445,144704,26,GET,k10,,mango
89187,100743,15,PUT,k4,quince,
90015,117218,5,GET,k6,,elder
92865,117494,0,DELETE,k8,,
93987,158272,4,PUT,k7,quince,
95048,151891,1,PUT,k4,mango,
97217,127200,3,GET,k1,,cherry
97896,116548,7,GET,k1,,cherry
99072,153369,8,PUT,k5,elder,
99292,131256,11,DELETE,k3,,
100514,144802,2,GET,k8,,tomato
101327,146136,13,GET,k2,,mango
101854,116109,15,DELETE,k4,,
102025,155722,16,PUT,k6,cherry,
108039,127654,12,GET,k2,,mango
108750,128127,14,PUT,k7,kiwi,
108963,149116,18,PUT,k8,tomato,
110899,157348,20,PUT,k9,elder,
110920,156409,23,PUT,k10,ham,
111313,146206,24,DELETE,k6,,
112680,138930,6,PUT,k5,peach,
113688,155747,25,PUT,k6,ice,
114745,166367,29,PUT,k6,fig,
115171,137590,27,PUT,k3,grape,
115560,138895,28,PUT,k3,cherry,
117179,137460,7,GET,k9,,banana
118182,142076,0,GET,k4,,NotFound
118834,168206,5,GET,k8,,NotFound
119530,162744,10,GET,k4,,mango
120358,170967,15,PUT,k4,raisin,
121126,151772,30,GET,k7,,quince
124934,148544,17,PUT,k5,cherry,
125549,181768,21,GET,k2,,mango
126234,168362,22,PUT,k10,raisin,
127226,163734,3,PUT,k3,kiwi,
127677,181042,12,PUT,k1,raisin,
127911,148185,31,GET,k4,,mango
129464,155849,9,GET,k1,,cherry
129662,148101,14,GET,k9,,banana
129848,198961,32,PUT,k4,mango,
130135,183110,33,PUT,k10,ham,
133463,184323,11,GET,k6,,fig
135836,183585,34,GET,k2,,mango
137726,173332,7,PUT,k7,peach,
138998,185004,6,PUT,k10,elder,
141441,184475,19,GET,k8,,mango
146489,178161,0,GET,k8,,tomato
146836,179467,2,PUT,k10,kiwi,
149025,212047,13,GET,k8,,mango
150600,165275,14,GET,k5,,cherry
153728,163665,1,PUT,k1,grape,
154660,202782,8,PUT,k4,banana,
156271,191985,9,PUT,k5,nectar,
156823,198791,16,GET,k1,,cherry
157306,190382,17,GET,k6,,ice
158306,184760,4,PUT,k8,mango,
158722,190239,18,GET,k2,,jam
159016,205657,20,GET,k9,,elder
162223,228108,23,PUT,k10,cherry,
162239,198096,24,GET,k7,,peach
162734,187888,25,PUT,k3,lemon,
163169,207129,10,PUT,k3,kiwi,
163956,170712,1,PUT,k2,jam,
164250,203541,3,PUT,k3,raisin,
165217,209456,26,PUT,k1,apple,
165904,182803,14,GET,k5,,cherry
166562,208882,27,PUT,k9,ham,
167080,198939,28,GET,k6,,fig
167509,194611,29,DELETE,k3,,
168596,224082,5,DELETE,k3,,
168986,239201,22,PUT,k10,nectar,
169388,220209,30,GET,k6,,fig
169955,193573,31,PUT,k1,mango,
170622,199961,35,DELETE,k10,,
173911,220532,1,GET,k6,,fig
178823,214575,0,DELETE,k2,,
179507,229834,2,PUT,k8,grape,
179688,230768,7,DELETE,k8,,
180381,236299,15,GET,k10,,kiwi
181953,246968,12,PUT,k9,kiwi,
182439,246931,21,GET,k8,,grape
184631,234705,11,GET,k10,,ham
185751,214692,4,PUT,k1,apple,
190394,216244,6,PUT,k7,mango,
191104,238879,14,PUT,k1,raisin,
191429,209337,17,GET,k2,,jam
191508,229545,18,PUT,k6,banana,
191911,206152,19,GET,k7,,straw
192572,256313,9,GET,k7,,mango
192799,232972,25,GET,k5,,nectar
194610,233897,31,DELETE,k1,,
195035,234440,29,PUT,k2,peach,
196464,255132,33,DELETE,k3,,
197102,203597,34,GET,k5,,nectar
199636,218899,16,DELETE,k9,,
200279,224362,24,GET,k7,,peach
201266,249412,28,PUT,k9,banana,
201518,263491,32,PUT,k9,elder,
202018,242446,35,PUT,k5,mango,
202642,214407,36,PUT,k6,straw,
203087,252357,8,PUT,k10,elder,
204417,222826,3,PUT,k4,olive,
207161,224847,10,GET,k9,,elder
208119,257786,19,DELETE,k8,,
210716,267629,17,GET,k7,,mango
211693,265470,20,GET,k5,,mango
211856,248529,26,GET,k3,,NotFound
213470,230835,13,GET,k4,,olive
218643,245369,0,PUT,k6,banana,
221018,267481,1,PUT,k1,raisin,
222463,274236,4,GET,k6,,banana
223412,241353,3,GET,k10,,tomato
223614,263329,6,PUT,k8,raisin,
224043,274867,16,GET,k4,,olive
224491,236766,5,PUT,k2,cherry,
225747,284886,10,PUT,k7,straw,
226053,258396,24,GET,k4,,olive
226333,268966,27,PUT,k3,tomato,
227224,299355,30,PUT,k9,jam,
227262,279188,34,GET,k9,,ice
228637,260560,23,PUT,k4,raisin,
230925,286729,2,GET,k4,,banana
231242,274009,7,GET,k8,,grape
231593,248526,13,GET,k2,,cherry
233854,257163,18,PUT,k5,quince,
235912,278355,11,PUT,k10,quince,
236143,280693,25,PUT,k2,apple,
236254,265760,29,DELETE,k10,,
237901,270023,5,PUT,k4,banana,
241070,279804,14,GET,k1,,raisin
241168,256042,15,PUT,k9,lemon,
242788,265745,3,PUT,k6,ham,
243209,264134,22,GET,k5,,mango
243241,299740,31,PUT,k7,banana,
243358,282415,35,PUT,k3,banana,
243756,285873,36,PUT,k6,olive,
244765,271879,37,GET,k2,,cherry
246596,309824,0,PUT,k3,date,
247293,293504,12,DELETE,k1,,
248771,294247,13,GET,k4,,banana
248994,306837,21,GET,k8,,raisin
