call_ns,return_ns,client_id,op,key,value,output
1000,5000,0,PUT,k1,apple,
1500,4500,2,PUT,k2,banana,
2000,3000,1,GET,k1,,NotFound
2000,7000,10,PUT,k4,egg,
3000,8000,8,PUT,k3,dog,
4600,5200,3,GET,k2,,banana
4700,6000,6,DELETE,k2,,
5100,9000,4,PUT,k1,cherry,
6100,6500,7,GET,k2,,NotFound
7100,7200,11,GET,k4,,egg
8100,8300,9,GET,k3,,dog
9200,10000,5,GET,k1,,cherry
10050,10500,0,GET,k1,,cherry
6600,7300,1,PUT,k2,fig,
7400,7600,3,GET,k2,,fig
9050,9300,2,GET,k1,,cherry
11000,12000,4,DELETE,k1,,
12100,12500,5,GET,k1,,NotFound
12600,13000,6,PUT,k5,ham,
13100,13300,7,GET,k5,,ham
8400,9500,8,PUT,k3,iguana,
9600,9800,9,GET,k3,,iguana
7250,7400,10,DELETE,k4,,
7450,7600,11,GET,k4,,NotFound
