call_ns,return_ns,client_id,op,key,value,output
5273,13229,0,PUT,k1,cherry,
9432,13958,1,GET,k2,,NotFound
13813,22602,0,PUT,k3,kiwi,
16106,24175,1,PUT,k4,ice,
23891,30256,0,PUT,k5,ham,
26857,35742,1,PUT,k6,ham,
29923,38911,2,PUT,k1,ice,
30137,37185,3,PUT,k2,yam,
35894,44378,0,PUT,k7,yam,
38604,43033,1,GET,k3,,NotFound
38774,44401,3,PUT,k8,vanilla,
40524,46147,2,GET,k4,,NotFound
44841,52351,0,PUT,k9,ice,
47332,52944,1,GET,k10,,NotFound
48227,53974,2,PUT,k5,nectar,
52399,60090,0,PUT,k11,ice,
54109,58751,1,GET,k2,,NotFound
55116,60743,2,PUT,k6,banana,
57469,64191,3,PUT,k12,peach,
58228,66854,4,GET,k1,,NotFound
60786,65111,0,PUT,k8,elder,
60987,68761,1,GET,k3,,kiwi
61528,67735,2,GET,k4,,ice
61540,66133,5,PUT,k13,ice,
62148,66333,6,GET,k7,,yam
66523,75377,0,PUT,k14,kiwi,
67467,74319,3,GET,k9,,ice
71741,79692,1,PUT,k10,date,
71946,77904,2,PUT,k15,grape,
72173,76559,4,PUT,k5,fig,
74219,82468,5,GET,k2,,yam
76137,84903,0,PUT,k11,tomato,
77043,82180,3,PUT,k16,vanilla,
79012,83590,2,PUT,k6,date,
80886,88597,1,GET,k12,,peach
81052,85537,4,PUT,k17,quince,
82523,89047,3,GET,k7,,yam
83182,87611,5,PUT,k8,vanilla,
84436,88538,2,DELETE,k1,,
85315,93721,0,DELETE,k13,,
86725,94171,4,PUT,k3,grape,
87033,92392,6,GET,k4,,ice
88672,95883,1,GET,k18,,NotFound
90343,96548,2,PUT,k9,ugli,
91383,96332,3,PUT,k19,quince,
92425,100590,5,GET,k5,,NotFound
95341,101200,0,GET,k14,,kiwi
97115,103669,1,GET,k15,,grape
97402,105301,2,DELETE,k10,,
100160,105842,3,DELETE,k6,,
100294,107652,4,PUT,k20,ham,
100640,109043,5,GET,k2,,yam
101115,108626,6,GET,k16,,vanilla
101274,107258,0,PUT,k17,walnut,
102924,110199,7,PUT,k11,jam,
104773,113265,1,GET,k12,,peach
106380,112018,2,DELETE,k7,,
106800,115000,3,PUT,k1,raisin,
107410,112203,0,PUT,k8,lemon,
111743,117332,4,GET,k4,,ice
111755,118693,5,PUT,k3,yam,
112850,120784,0,PUT,k13,kiwi,
114216,122923,1,PUT,k18,banana,
114468,122927,2,GET,k9,,ugli
