call_ns,return_ns,client_id,op,key,value,output
4498,11150,0,PUT,k1,elder,
12150,31052,0,GET,k1,,elder
13578,19783,1,GET,k2,,NotFound
19502,23358,2,GET,k3,,NotFound
20783,41251,1,PUT,k2,kiwi,
22326,29594,3,GET,k4,,NotFound
24358,44010,2,PUT,k3,olive,
30168,50125,3,PUT,k4,mango,
32052,55522,0,GET,k1,,elder
32168,36670,4,GET,k5,,NotFound
37670,60065,4,PUT,k5,elder,
40245,46896,5,GET,k6,,NotFound
41952,47721,1,GET,k7,,NotFound
42251,73384,6,PUT,k2,olive,
45010,66200,2,GET,k3,,olive
47896,65969,1,PUT,k6,cherry,
48721,71113,5,PUT,k7,nectar,
49935,54875,7,PUT,k8,grape,
51125,79144,3,GET,k4,,mango
55917,76442,0,PUT,k8,olive,
56522,75342,7,DELETE,k1,,
61065,87620,4,PUT,k5,apple,
66969,97080,1,DELETE,k6,,
67200,89017,2,PUT,k3,peach,
72113,95659,5,DELETE,k7,,
74384,92533,6,GET,k2,,olive
76342,81178,7,PUT,k1,banana,
77442,105554,0,PUT,k8,peach,
80144,100093,3,GET,k4,,mango
82178,105350,7,DELETE,k1,,
88620,111769,4,PUT,k5,jam,
90017,94032,2,GET,k3,,peach
93533,100068,6,GET,k2,,olive
95032,119659,2,PUT,k3,elder,
96659,115185,5,PUT,k7,lemon,
98080,114703,1,PUT,k6,mango,
101068,126460,3,GET,k2,,olive
101093,106569,6,PUT,k4,mango,
106350,112316,0,PUT,k1,cherry,
106554,129513,7,PUT,k8,ham,
107569,136429,6,GET,k4,,mango
112769,119087,0,DELETE,k5,,
113316,132701,4,GET,k1,,cherry
115703,119579,1,PUT,k6,grape,
116185,120397,5,DELETE,k7,,
120087,146225,0,GET,k5,,NotFound
120579,143340,1,PUT,k6,fig,
120659,124684,2,PUT,k3,mango,
121397,146020,5,GET,k7,,NotFound
125684,145385,2,GET,k3,,mango
127460,133995,3,PUT,k2,cherry,
130513,134305,7,PUT,k8,ice,
133701,160001,4,GET,k1,,cherry
134995,151509,3,PUT,k2,peach,
135305,163621,7,DELETE,k8,,
137429,141793,6,GET,k4,,mango
142793,159801,6,GET,k4,,mango
144340,151365,1,GET,k6,,fig
146385,177535,0,DELETE,k3,,
147020,153283,2,GET,k7,,NotFound
147225,151232,5,GET,k5,,NotFound
152232,171086,1,PUT,k5,lemon,
152365,170711,3,PUT,k6,cherry,
152509,178906,5,DELETE,k2,,
154283,174214,2,PUT,k7,elder,
160801,187930,4,GET,k4,,mango
161001,182160,6,GET,k1,,cherry
164621,171208,7,GET,k8,,NotFound
171711,196593,1,DELETE,k6,,
172086,195999,3,DELETE,k5,,
172208,189785,7,PUT,k8,olive,
175214,204474,2,PUT,k7,apple,
178535,199743,0,PUT,k3,olive,
179906,201063,5,GET,k2,,NotFound
183160,186994,6,GET,k1,,cherry
187994,210237,4,DELETE,k1,,
188930,207974,6,GET,k4,,mango
190785,218910,7,GET,k8,,olive
196999,215812,1,PUT,k5,ham,
197593,218036,3,GET,k6,,NotFound
200743,204964,0,GET,k3,,olive
202063,208885,5,PUT,k2,cherry,
205474,228247,0,DELETE,k7,,
205964,236355,2,GET,k3,,olive
208974,216076,5,GET,k4,,mango
209885,236014,6,GET,k2,,cherry
211237,215588,4,GET,k1,,NotFound
216812,223289,1,PUT,k5,kiwi,
217076,240778,4,GET,k4,,mango
219036,222407,3,PUT,k6,mango,
219910,238953,5,GET,k8,,olive
223407,247492,1,PUT,k6,cherry,
224289,256008,3,PUT,k5,grape,
229247,236048,0,GET,k7,,NotFound
237014,242502,0,GET,k2,,cherry
237048,264976,2,GET,k7,,NotFound
237355,243554,6,GET,k3,,olive
239953,244878,5,GET,k8,,olive
241778,245082,4,GET,k4,,mango
245878,272372,0,GET,k8,,olive
248492,253790,1,GET,k6,,cherry
257008,260505,1,GET,k5,,grape
265976,272480,1,GET,k7,,NotFound
273372,277488,0,GET,k8,,olive
