call_ns,return_ns,client_id,op,key,value,output
-5534,41341,0,PUT,k2,date,
3398,31644,1,DELETE,k1,,
9093,40788,2,PUT,k1,date,
10795,60908,3,PUT,k2,peach,
10942,60101,4,PUT,k4,banana,
17308,54903,5,PUT,k1,nectar,
19801,48011,6,PUT,k3,grape,
21110,45729,7,PUT,k2,nectar,
28073,58995,8,PUT,k3,ice,
28438,78174,9,GET,k2,,NotFound
33004,64572,1,GET,k1,,NotFound
35611,59671,10,PUT,k1,peach,
39411,78495,11,PUT,k1,olive,
40837,88525,2,PUT,k4,apple,
41187,48590,12,GET,k3,,grape
42453,56590,0,PUT,k5,nectar,
42621,89672,13,GET,k1,,olive
43480,71627,14,PUT,k4,grape,
55648,107024,5,GET,k3,,lemon
57079,121162,0,GET,k1,,date
57819,94097,6,GET,k5,,nectar
60559,94246,4,PUT,k3,lemon,
60743,97723,7,GET,k4,,apple
60963,93409,3,PUT,k2,olive,
61953,124009,8,DELETE,k2,,
65774,113058,1,PUT,k5,cherry,
66277,111213,10,PUT,k3,elder,
66461,120378,12,PUT,k4,mango,
71614,90349,15,PUT,k5,fig,
74954,96964,14,PUT,k1,date,
75495,112092,16,PUT,k5,ice,
75569,123795,17,GET,k1,,date
82922,120946,9,GET,k4,,mango
85447,120250,11,PUT,k2,mango,
85624,91152,18,PUT,k3,peach,
86291,142034,19,GET,k5,,cherry
90654,141550,2,GET,k3,,jam
91035,115606,13,GET,k1,,date
92272,135900,15,PUT,k5,date,
94751,127136,3,PUT,k2,ice,
95058,128379,4,GET,k5,,cherry
96022,142941,6,GET,k3,,lemon
96061,148846,18,PUT,k5,lemon,
98792,152596,7,GET,k4,,cherry
99689,124315,14,PUT,k4,elder,
100696,129643,20,GET,k2,,mango
102451,118298,21,PUT,k4,cherry,
109050,141285,5,GET,k5,,cherry
112530,150181,10,PUT,k3,peach,
125978,132350,0,GET,k4,,elder
127664,187260,1,PUT,k2,jam,
143387,201565,0,GET,k5,,cherry
152006,180350,2,PUT,k3,jam,
153636,178433,3,GET,k4,,cherry
188684,212498,1,PUT,k2,peach,
