call_ns,return_ns,client_id,op,value,output
1728990000000,1728990000900,0,ENQ,apple,
1728990000100,1728990000800,1,DEQ,,apple
1728990000200,1728990002000,2,DEQ,,<empty>
1728990000300,1728990001300,0,ENQ,banana,
1728990000400,1728990001400,1,DEQ,,banana
1728990001000,1728990001800,2,ENQ,cherry,
1728990001100,1728990002500,0,ENQ,date,
1728990001200,1728990001900,1,DEQ,,cherry
1728990001300,1728990003000,2,DEQ,,date
1728990002100,1728990004500,1,ENQ,elderberry,
1728990002200,1728990003500,0,DEQ,,elderberry
1728990002300,1728990003300,0,ENQ,fig,
1728990002400,1728990003400,1,ENQ,grape,
1728990002500,1728990003600,2,ENQ,honeydew,
1728990002600,1728990003800,0,DEQ,,fig
1728990002700,1728990004000,1,DEQ,,grape
1728990002800,1728990004100,2,DEQ,,honeydew
1728990002900,1728990005000,0,DEQ,,<empty>
1728990003100,1728990004300,2,ENQ,indigo,
1728990003200,1728990005500,1,ENQ,jackfruit,
1728990003300,1728990006000,0,ENQ,kiwi,
1728990003400,1728990006100,2,DEQ,,indigo
1728990003500,1728990006200,1,DEQ,,jackfruit
1728990003600,1728990006300,0,DEQ,,kiwi
1728990003700,1728990007000,1,DEQ,,<empty>
